Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
1.29,2,0.4079837006756682986679205898,0.411582895477689,0.411582895477689,0.408481220537185,0.408481220537185,0.0816902829711146,0.0960045553614555879133862548,0.0781187293331325879133862548,0.017885826028323,3.2614700695095435754400357224,12.259382547480446664268234371,15.829059450349399117582853282,50226930
1.30,2,0.4065210575244660742023312768,0.410124714100647,0.410124714100647,0.407016793750958,0.407016793750958,0.0818946897550317,0.0961579478301230797769927407,0.0782721218018000797769927407,0.017885826028323,3.2658644400414135754400357231,12.254801372568756723506626742,15.820392113370968457057994808,50616280
1.31,2,0.4050656512433912354408834278,0.408673626584445,0.408673626584445,0.405559612659934,0.405559612659934,0.0820946220975675,0.0963071161552910536969088393,0.0784212901269680536969088393,0.017885826028323,3.2701377977759935754400357225,12.250398364595352851284605202,15.812017871582500808373231566,51005640
1.32,2,0.4036171609493016178049968799,0.407229317887211,0.407229317887211,0.404109355989664,0.404109355989664,0.0822902640842932,0.0964522333155880269278911487,0.0785664072872650269278911487,0.017885826028323,3.274295098185963575440035723,12.246165031287697222387837852,15.803923283634376682150451841,51395000
1.33,2,0.4021757232492725384788362520,0.405791930245822,0.405791930245822,0.402666160513813,0.402666160513813,0.0824817697737249,0.0965934582396771119221655779,0.0787076322113541119221655779,0.017885826028323,3.278340894242143575440035723,12.242095468543830988120264573,15.796097601668222827802022464,51784360
1.34,2,0.4007410981288626083926659408,0.404361228636687,0.404361228636687,0.40122978592525,0.40122978592525,0.0826692946611776,0.0967309381259448508212090417,0.0788451120976218508212090417,0.017885826028323,3.2822794028676835754400357231,12.238179695829515332454697042,15.788527066487167636703842928,52173710
1.35,2,0.3993134374304670231305744304,0.402937369663541,0.402937369663541,0.399800384251537,0.399800384251537,0.0828529671375137,0.0968648067524329273039143359,0.0789789807241099273039143359,0.017885826028323,3.2861144565211735754400357225,12.23441431907120464724091542,15.781203953066712919319327134,52563070
1.36,2,0.3978925049540895977437146097,0.401520121393723,0.401520121393723,0.39837771900464,0.39837771900464,0.0830329217794345,0.0969951905195289710802730251,0.0791093644912059710802730251,0.017885826028323,3.2898496763069835754400357227,12.230790781122166620264809421,15.774116458719859178711626342,52952420
1.37,2,0.3964783436172020592331762063,0.400109530832081,0.400109530832081,0.396961833154368,0.396961833154368,0.0832092733852907,0.0971222057960970880592865901,0.0792363797677740880592865901,0.017885826028323,3.2934883959475035754400357231,12.227305270805842355483751697,15.767257146477366903649176773,53341780
1.38,2,0.3950709380166209220512854949,0.398705586321653,0.398705586321653,0.395552711278754,0.395552711278754,0.0833821300399259,0.0972459601943166114880824972,0.0793601341659936114880824972,0.017885826028323,3.2970336983045835754400357232,12.223952118929720853535793161,15.760617324382968250891281387,53731130
1.39,2,0.3936702220883050671895669787,0.397308225299104,0.397308225299104,0.394150287233193,0.394150287233193,0.0835515954520589,0.0973665551763006220106109527,0.0794807291479776220106109527,0.017885826028323,3.3004884900536535754400357221,12.220726094001495519736709158,15.754188899421951413414472482,54120490
1.40,2,0.3922760711785573226731872830,0.395917326272643,0.395917326272643,0.392754436211979,0.392754436211979,0.0837177666982524,0.0974840835194733064512654570,0.0795982574911503064512654570,0.017885826028323,3.3038554290721335754400357232,12.217623342512254666869556983,15.747965246628206959206716097,54509840
1.41,2,0.3908884201890806549274086126,0.394532827224727,0.394532827224727,0.39136509303743,0.39136509303743,0.0838807354107729,0.0975986346358999781074052537,0.0797128086075769781074052537,0.017885826028323,3.3071370768270135754400357222,12.214638650096972415750900767,15.741938727930092992701816001,54899200
1.42,2,0.3895072525435121070494697533,0.393154714385557,0.393154714385557,0.389982241112968,0.389982241112968,0.0840405828276656,0.0977102892335790148377902330,0.0798244632052560148377902330,0.017885826028323,3.3103357454321335754400357232,12.211769797041712851201888293,15.736104534482801087030281063,55288560
1.43,2,0.3881326219456006406949809807,0.391783044208665,0.391783044208665,0.388605934207833,0.388605934207833,0.0841973848784311,0.0978191251659564803528777862,0.0799332991376334803528777862,0.017885826028323,3.3134536652244335754400357227,12.209011526436676603238402634,15.730455405688945578964841007,55677910
1.44,2,0.3867643846540414216484729657,0.390417675438778,0.390417675438778,0.387236028405432,0.387236028405432,0.0843512202853593,0.0979252161776288511741288035,0.0800393901493058511741288035,0.017885826028323,3.3140661762871993766065194867,12.206360504256956934857554227,15.710844654234879658565745932,56067270
1.45,2,0.3854025151585319805141875190,0.3890585848527,0.3890585848527,0.385872498164354,0.385872498164354,0.0845021558793363,0.0980286282482929239361601771,0.0801428022199699239361601771,0.017885826028323,3.313260485306643991376710922,12.203814688163146689975162109,15.683573792822646200021622033,56456630
1.46,2,0.3840469582027845623961486822,0.387705719428686,0.387705719428686,0.384515288160929,0.384515288160929,0.084650258544493,0.0981294263709033568392711997,0.0802436003425803568392711997,0.017885826028323,3.3123799102304171737512046364,12.201369698466689264204041099,15.656448791020745612479947164,56845980
1.47,2,0.3826976013020245217039124704,0.386358968779888,0.386358968779888,0.383164285773212,0.383164285773212,0.0847955942514478,0.0982276726234454784167221393,0.0803418465951224784167221393,0.017885826028323,3.3114262294618017885213960712,12.19902381938196240166303671,15.629465054251372599473607082,57235340
1.48,2,0.3813545799260045151188780888,0.385018470358982,0.385018470358982,0.381819626636154,0.381819626636154,0.0849382126855692,0.0983234214580500828335615541,0.0804375954297270828335615541,0.017885826028323,3.3104010029394349708958897865,12.196773332428981141611696707,15.602616556219414683478387398,57624700
1.49,2,0.3800176997748145998032170254,0.383684031689292,0.383684031689292,0.380481116212905,0.380481116212905,0.0850781762381226,0.0984167285106363789759138637,0.0805309024823133789759138637,0.017885826028323,3.3093058245149995856660812213,12.194616144648812324978704086,15.575898652767326698225429394,58014050
1.50,2,0.3786868695291275504060739321,0.382355563167978,0.382355563167978,0.379148663072778,0.379148663072778,0.0852155388477826,0.0985076445599270707681957195,0.0806218185316040707681957195,0.017885826028323,3.3081421488917427680405749362,12.192548825956169768820987071,15.549305739581463598974072902,58403410
1.51,2,0.3773622079507473588073024149,0.381033185282554,0.381033185282554,0.377822386122401,0.377822386122401,0.0853503437096235,0.0985962169796366458585335234,0.0807103909513136458585335234,0.017885826028323,3.3069113332266173828107663705,12.190571440086798726290391209,15.522835323811498480386037698,58792760
1.52,2,0.3760435444506746157199454639,0.379716728997165,0.379716728997165,0.376502114564749,0.376502114564749,0.085482644238243,0.0986824932525577832227937180,0.0807966672242347832227937180,0.017885826028323,3.3056147378014319975809578057,12.188679176754503705438401922,15.496480781901195159724874761,59182120
1.53,2,0.3747309783035794149427479339,0.378406295132543,0.378406295132543,0.375187947795554,0.375187947795554,0.085612479505358,0.0987665159451988841147173349,0.0808806899168758841147173349,0.017885826028323,3.3042535820568251799554515204,12.186872429303170306604901478,15.470240105410260369240920782,59571470
1.54,2,0.3734242396162458021196479813,0.37710161508714,0.37710161508714,0.373879615592476,0.373879615592476,0.0857399006411214,0.0988483267825068873248209615,0.0809625007541838873248209615,0.017885826028323,3.3028290613244797947256429552,12.185145939684156114717759618,15.444106501630585044143447403,59960830
1.55,2,0.3721235381483347048530465377,0.375802900083515,0.375802900083515,0.372577327970968,0.372577327970968,0.0858649385466993,0.0989279640183845868547238647,0.0810421379900615868547238647,0.017885826028323,3.3013422714979829771001366696,12.18350203277117325073102325,15.418079796793875429150086276,60350180
1.56,2,0.3708286146700275159388833558,0.37450989207992,0.37450989207992,0.371280825385092,0.371280825385092,0.0859876408268166,0.0990054662230303250694657713,0.0811196401947073250694657713,0.017885826028323,3.2997943175321275918703281054,12.181935679100764188671989211,15.39215352835917063299198952,60739540
1.57,2,0.3695396271525266494313225935,0.373222750357415,0.373222750357415,0.36999026599869,0.36999026599869,0.0861080367137,0.0990808681696922701885870490,0.0811950421413692701885870490,0.017885826028323,3.2981861956070907742448218197,12.180446988652135557624871071,15.366325771505351670523373858,61128900
1.58,2,0.3682563815159570527249220223,0.371941281960968,0.371941281960968,0.368705455495214,0.368705455495214,0.0862261685878211,0.0991542054789913011722928303,0.0812683794506683011722928303,0.017885826028323,3.2965189261784953890150132542,12.179033600132431912164022099,15.340592476997149276371969034,61518260
1.59,2,0.3669789161426563021861717568,0.37066552633128,0.37066552633128,0.367426432303808,0.367426432303808,0.086342064745675,0.0992255078066457700509414521,0.0813396817783227700509414521,0.017885826028323,3.2947933588200885713895069701,12.177693482550507512504516659,15.314950061327793011103054543,61907610
1.60,2,0.3657071430398700489517932021,0.369395396573852,0.369395396573852,0.366153108324414,0.366153108324414,0.0864557612476652,0.0992948081585178200947397371,0.0814089821301948200947397371,0.017885826028323,3.2930104390801731861596984053,12.176426100528402468876125081,15.289396156676220853503527497,62296970
1.61,2,0.3644410732713696417450016261,0.368130904760144,0.368130904760144,0.364885494634294,0.364885494634294,0.0865672863705622,0.0993621352154403846402267038,0.0814763091871173846402267038,0.017885826028323,3.2911709886040777741600057993,12.175230343581533090755339556,15.263928037305851957246838347,62686320
1.62,2,0.3631806394214326535024972031,0.36687198443478,0.36687198443478,0.363623523735515,0.363623523735515,0.0866766711475085,0.0994275176723922906113554153,0.0815416916440692906113554153,0.017885826028323,3.2892758294424123889301972349,12.17410348405159086800188927,15.238541593765572594546342942,63075680
1.63,2,0.3619258608280234628398802418,0.365618655856691,0.365618655856691,0.362367214989625,0.362367214989625,0.0867839409382229,0.0994909815806703819438809869,0.0816051555523473819438809869,0.017885826028323,3.2873257079098555980745749886,12.173045410152695601963971594,15.213235064609639108276273342,63465040
1.64,2,0.3606765569732736328830283689,0.364370739324214,0.364370739324214,0.361116387658619,0.361116387658619,0.0868891285744196,0.0995525534804909350005805955,0.0816667274521679350005805955,0.017885826028323,3.2853213843275787804490687038,12.172055187110971769689995306,15.188005979884570597225389125,63854390
1.65,2,0.3594328512598592903227139171,0.363128359182588,0.363128359182588,0.359871165295659,0.359871165295659,0.0869922545816428,0.0996122582244810036619290400,0.0817264321961580036619290400,0.017885826028323,3.2832635706709133952192601394,12.171130344926391198651140177,15.162850594751431361523918418,64243750
1.66,2,0.3581946756879859778597381863,0.361891448203186,0.361891448203186,0.358631479818027,0.358631479818027,0.0870933446061925,0.0996701190970722046648260696,0.0817842930687492046648260696,0.017885826028323,3.2811529339896865775937538539,12.170270972851669450289016573,15.137767439471425983645465009,64633100
1.67,2,0.3569618541759654021197993068,0.360659831012112,0.360659831012112,0.35739715492931,0.35739715492931,0.0871924281427651,0.0997261594545328595607068598,0.0818403334262098595607068598,0.017885826028323,3.2789901433917011923639452888,12.169474713751571623963940229,15.112752927765406993509836845,65022460
1.68,2,0.3557345890655888653264354597,0.359433710811082,0.359433710811082,0.356168393218048,0.356168393218048,0.0872895192142866,0.0997804004028842194241736977,0.0818945743745612194241736977,0.017885826028323,3.2767758035199243747384390033,12.168742623484438084115205526,15.087806514372729392706325082,65411810
1.69,2,0.3545126347688683930679525144,0.358212842615949,0.358212842615949,0.354944948796767,0.354944948796767,0.0873846479805846,0.0998328635337578234950696827,0.0819470375054348234950696827,0.017885826028323,3.2745105329290389895086304381,12.168072468095628070836536759,15.062924787205561066283622411,65801170
1.70,2,0.3532960819771802288939258456,0.356997317853393,0.356997317853393,0.353726912467439,0.353726912467439,0.0874778307460129,0.0998835683323204587108003245,0.0819977423039974587108003245,0.017885826028323,3.2721948898279536042788218732,12.167462955647626120131284642,15.038105215936564347862126501,66190530
1.71,2,0.3520848014985003410496757416,0.355787007949165,0.355787007949165,0.352514154880495,0.352514154880495,0.0875690919706559,0.0999325347565796732347206285,0.0820467087282566732347206285,0.017885826028323,3.2698294459714667866533155888,12.166913606952487368853421152,15.013345977286276988572852036,66579880
1.72,2,0.3508787684468909013236533990,0.354581888652814,0.354581888652814,0.351306651119649,0.351306651119649,0.0876584511564262,0.0999797814502392281108241408,0.0820939554219162281108241408,0.017885826028323,3.2674147354623514014235070229,12.166423202520049442708629211,14.988644642449384156628306916,66969240
1.73,2,0.3496780740261868674480535567,0.353382051821575,0.353382051821575,0.350104492499957,0.350104492499957,0.0877459222353827,0.1000253255426424770831448656,0.0821394995143194770831448656,0.017885826028323,3.2649512490201445837980007385,12.165992254866812198019106431,14.964000346488072064068505119,67358600
1.74,2,0.3484825595467403684320095897,0.352187339293991,0.352187339293991,0.348907520138253,0.348907520138253,0.087831528647918,0.1000691849401474227641357421,0.0821833589118244227641357421,0.017885826028323,3.2624394996242106041940058528,12.165619609488542879910849827,14.939410753293803042452453332,67747950
1.75,2,0.3472923526622216497996484566,0.350997879384842,0.350997879384842,0.347715861843878,0.347715861843878,0.0879152826369595,0.1001113763563446321753638186,0.0822255503280216321753638186,0.017885826028323,3.259879966083663786568499568,12.165302541732341197292979825,14.914872180170594833177452593,68137300
1.76,2,0.3461071812732484848090670819,0.349815774565753,0.349815774565753,0.346529245185635,0.346529245185635,0.0880651972765661,0.1002199448087675488437056625,0.0823341187804445488437056625,0.017885826028323,3.2592219945592784013386910035,12.170037704860534572186353146,14.893155326360786406170997471,68526660
1.77,2,0.3449271672120167599615580373,0.348647242097306,0.348647242097306,0.345347792144289,0.345347792144289,0.0884558164142073,0.1005695447967549088138085299,0.0826837187684319088138085299,0.017885826028323,3.265469067893593016108882438,12.192754657692065115374536103,14.881601701093791919916293035,68916020
1.78,2,0.3437522305777640362720455418,0.34748370473643,0.34748370473643,0.344171422721641,0.344171422721641,0.088843812189891,0.1009166973476062057013583073,0.0830308713192832057013583073,0.017885826028323,3.2716460273186461984833761523,12.215641214907256450944440795,14.87043804604924919668696168,69305380
1.79,2,0.3425824234424879690471457423,0.346325216038017,0.346325216038017,0.34300018905319,0.34300018905319,0.089229224339724,0.1012614440422609126489690151,0.0833756180139379126489690151,0.017885826028323,3.277754064040610813253567588,12.238694270517586054256966602,14.859657813821431209144264815,69694730
1.80,2,0.3414175625895008821078632701,0.345171593593856,0.345171593593856,0.341833907698822,0.341833907698822,0.089612085615473,0.1016038112465793572061370555,0.0837179852182563572061370555,0.017885826028323,3.2837939333857439956280613025,12.261909172555984202778984737,14.849253518156904136486660468,70084090
1.81,2,0.3402577621989362408179113549,0.344022952903556,0.344022952903556,0.340672692977908,0.340672692977908,0.0899924278192458,0.1019438347741746438332933929,0.0840580087458516438332933929,0.017885826028323,3.2897666613384972047724390571,12.285282628843411244867043996,14.83921872703882144764019214,70473440
1.82,2,0.3391029894306195365616739930,0.342879262171726,0.342879262171726,0.339516512010228,0.339516512010228,0.0903702825904703,0.1022815451355575790175394249,0.0843957191072345790175394249,0.017885826028323,3.295673121960600387146932772,12.308810120596628442955166649,14.829546109441160508033523501,70862800
1.83,2,0.3379531169551255300840993934,0.341740395211639,0.341740395211639,0.338365237311082,0.338365237311082,0.0907456893234596,0.1026169772971902132936446307,0.0847311512688672132936446307,0.017885826028323,3.3015143169674150019171242072,12.332489553597671644052345825,14.820230456992734944405880215,71252160
1.84,2,0.3368081575222713478930079769,0.340606365314848,0.340606365314848,0.337218881645835,0.337218881645835,0.0911186628634594,0.1029501465591432927073937189,0.0850643205308202927073937189,0.017885826028323,3.3072906846736781842916179211,12.356314125035995919618078906,14.811262857552827705037789585,71641510
1.85,2,0.3356680488291953410959406403,0.339477111505161,0.339477111505161,0.33607738263565,0.33607738263565,0.0914892444657583,0.1032810920235353160297839829,0.0853952659952123160297839829,0.017885826028323,3.3130033452725727990618093565,12.380285147540280907361057754,14.802641173245277708003542379,72030870
1.86,2,0.3345327956186532122549649893,0.338352639541943,0.338352639541943,0.334940745029067,0.334940745029067,0.0918574629937237,0.1036098427371500803117143872,0.0857240167088270803117143872,0.017885826028323,3.3186531308931488194578144714,12.404395461012049575268543145,14.794355992608797155822406065,72420220
1.87,2,0.3334023759288295235915735250,0.337232928120261,0.337232928120261,0.333808946837488,0.333808946837488,0.0922233384087766,0.1039364179057170363366366414,0.0860505918773940363366366414,0.017885826028323,3.3242405917390420018323081868,12.428645099858016026864006312,14.786404586181850955626388939,72809580
1.88,2,0.3322767830462802095582028103,0.336117971515581,0.336117971515581,0.332681981339282,0.332681981339282,0.0925868993813913,0.1042608459824617768860603852,0.0863750199541387768860603852,0.017885826028323,3.3297665429351151842068019008,12.453028838480231193544763972,14.77877938315195839180521554,73198940
1.89,2,0.3311559703257968616829674243,0.335007724034779,0.335007724034779,0.33155980183236,0.33155980183236,0.0929481756197002,0.1045831550627524718344834192,0.0866973290344294718344834192,0.017885826028323,3.335231789354381231372691056,12.477544905314366064759338777,14.771475967222812286276528314,73588290
1.90,2,0.3300399462930870813038038210,0.333902194687185,0.333902194687185,0.330442416852825,0.330442416852825,0.0933071805261357,0.1049033588552780800372211273,0.0870175328269550800372211273,0.017885826028323,3.340636723721845846142882491,12.502188142913455432343015759,14.76448721606831618085677219,73977650
1.91,2,0.3289285761894017180658676913,0.332801249756702,0.332801249756702,0.329329691477595,0.329329691477595,0.0936639510193766,0.1052214895896030771527806679,0.0873356635612800771527806679,0.017885826028323,3.3459822693465190285173762056,12.526959315231430626311268481,14.757811012866465766701780547,74367000
1.92,2,0.3278219588504233592745291259,0.331704988763526,0.331704988763526,0.32822172466288,0.32822172466288,0.0940185015225515,0.1055375651532746561814704904,0.0876517391249516561814704904,0.017885826028323,3.3512689386688836432875676407,12.551852466370345136964571982,14.751439524296658162891213737,74756360
1.93,2,0.3267199497007749605063594255,0.330613267984044,0.330613267984044,0.327118371656997,0.327118371656997,0.094370864002352,0.1058516124776293503434379509,0.0879657864493063503434379509,0.017885826028323,3.3564975032148982580577590756,12.57686715781328060393258227,14.745369757856688850936513728,75145710
1.94,2,0.3256225678745309340880606551,0.329526107010752,0.329526107010752,0.326019651617356,0.326019651617356,0.0947210505836728,0.1061636443639440814847287163,0.0882778183356210814847287163,0.017885826028323,3.36166832971413287282795051,12.601999511976360012779923652,14.739595928373100153966181445,75535070
1.95,2,0.3245298674130648540637857229,0.328443560839992,0.328443560839992,0.32492561865123,0.32492561865123,0.0950690857816364,0.1064736872317518913780192238,0.0885878612034288913780192238,0.017885826028323,3.3667821750304560552024442258,12.627249314965898360538455237,14.734115352047518216809367491,75924430
1.96,2,0.3234416424129192384612595807,0.327365424193836,0.327365424193836,0.323836066604071,0.323836066604071,0.0954149982978149,0.1067817626010444875882421067,0.0888959365727214875882421067,0.017885826028323,3.3718396556662206699726356603,12.652612504099669115639162138,14.728921999341912582588246508,76313780
1.97,2,0.3223580924358205706498355630,0.326291897181243,0.326291897181243,0.322751195280964,0.322751195280964,0.0957587933463881,0.1070878826665270637233335837,0.0892020566382040637233335837,0.017885826028323,3.3768411209739952847428270947,12.678085495408176154851883779,14.724010470986899288016722045,76703140
1.98,2,0.3212790618128315880499123846,0.325222824775409,0.325222824775409,0.321670848823138,0.321670848823138,0.0961004974723366,0.1073920685466525020540011556,0.0895062425183295020540011556,0.017885826028323,3.3817871759528898995130185301,12.703668575752862456027575633,14.719378761307718850382813041,77092500
1.99,2,0.3202044834234915287412331207,0.32415814069954,0.32415814069954,0.320594960028283,0.320594960028283,0.0964401383519546,0.1076943455878283799203962910,0.0898085195595053799203962910,0.017885826028323,3.3866785467239873523047213653,12.729357780625133739028822176,14.715020973734532179747875855,77481860
2.00,2,0.3191344017407668847469953389,0.323097889702457,0.323097889702457,0.319523573423598,0.319523573423598,0.0967777215544614,0.1079947209175929465709711651,0.0901088948892699465709711651,0.017885826028323,3.3915154374762333994706105194,12.755150811932285617637123407,14.710933068450764025458611485,77871210
2.01,2,0.3181645348339762236809656533,0.322137849067187,0.322137849067187,0.318552523802771,0.318552523802771,0.0971099273874256,0.1082932194447547063761972616,0.0904073934164317063761972616,0.017885826028323,3.3962985617944165818451042345,12.781048051872473613923058233,14.707113188054771198948745052,78260570
2.02,2,0.3171960210262877892436038638,0.321179097250143,0.321179097250143,0.317582828931097,0.317582828931097,0.0974402215584348,0.1085898524536017080286572445,0.0907040264252787080286572445,0.017885826028323,3.40102824294958119661529567,12.807044675792556550140942551,14.70355498507735087034802556,78649920
2.03,2,0.3162320954346035713869583104,0.320224872038352,0.320224872038352,0.316617727870574,0.316617727870574,0.0977685110190795,0.1088846399495446421758721225,0.0909988139212216421758721225,0.017885826028323,3.4057050540545258113854871045,12.83314058352579421834088806,14.700256315963811149328896984,79039270
2.04,2,0.3152726269110352163392214891,0.319275042587001,0.319275042587001,0.315657089313384,0.315657089313384,0.098094811320021,0.1091775929073538207641988806,0.0912917668790308207641988806,0.017885826028323,3.4103293095132604261556785396,12.859332768161842125231870189,14.697212556275884628019320352,79428630
2.05,2,0.3143176286087564491561859159,0.318329622894217,0.318329622894217,0.31470092642874,0.31470092642874,0.0984191459684447,0.1094687353084221435318818705,0.0915829092800991435318818705,0.017885826028323,3.4149016963420836085301722532,12.885619441452449118729167834,14.694420024342944296114129998,79817980
2.06,2,0.3133670578784563222145120541,0.317388570654855,0.317388570654855,0.313749196515322,0.313749196515322,0.098741527054603,0.1097580777592086754305209994,0.0918722517308856754305209994,0.017885826028323,3.4194225183936682233003636892,12.912000252783899849601995802,14.69187659991958073208736606,80207340
2.07,2,0.3124210463484447482488698622,0.316452017793476,0.316452017793476,0.312802031361956,0.312802031361956,0.0990619561651225,0.1100456264494743903731013723,0.0921598004211513903731013723,0.017885826028323,3.4238919529916028380705551239,12.938470897209038020687849816,14.689576618643691060001390776,80596700
2.08,2,0.3114793541690810875253948989,0.315519725130923,0.315519725130923,0.311859190826514,0.311859190826514,0.0993804650675181,0.1103314047801498873378922715,0.0924455787518268873378922715,0.017885826028323,3.4283106705231660204450488388,12.965032315093515408098988658,14.687519012372416210838475861,80986060
2.09,2,0.3105421928406165619057340674,0.314591904951823,0.314591904951823,0.310920886667163,0.310920886667163,0.0996970651414174,0.1106154315325574407569393657,0.0927296055042344407569393657,0.017885826028323,3.4326792090336106352152402727,12.991680669534346597161326429,14.68569841849500523198332755,81375410
2.10,2,0.3096093696584944928344883247,0.313668364336663,0.313668364336663,0.30998692594435,0.30998692594435,0.100011760328462,0.1108977039131432957074411911,0.0930118778848202957074411911,0.017885826028323,3.4369974884935152499854317079,13.018414683104465004457747173,14.684112161787027755561188634,81764770
2.11,2,0.3086808474251846984448679275,0.312749067009973,0.312749067009973,0.309057271415186,0.309057271415186,0.100324578981977,0.1111782489919651978190072444,0.0932924229636421978190072444,0.017885826028323,3.4412662844029098647556231426,13.045233662043053517198489226,14.682757711974915418119151853,82154120
2.12,2,0.3077568334067770268206851432,0.311834220557408,0.311834220557408,0.308132130598513,0.308132130598513,0.100635519392982,0.1114570723057185668226362253,0.0935712462773955668226362253,0.017885826028323,3.4454857553764287499430236983,13.072135275789915944101582845,14.681631354297003126024928171,82543480
2.13,2,0.3068371089464751942279185298,0.310923606821975,0.310923606821975,0.30721128457089,0.30721128457089,0.100944607331013,0.1117341919946721770123131743,0.0938483659663491770123131743,0.017885826028323,3.4496564210945019323175174123,13.099119284409853854601566359,14.680731162623581270825082023,82932840
2.14,2,0.3059217039761103482216081634,0.310017255794099,0.310017255794099,0.30629476330065,0.30629476330065,0.101251842905579,0.1120096092149192094726175253,0.0941237831865962094726175253,0.017885826028323,3.4537783146767565470877088477,13.126181936365798436031393171,14.680052203330437012262118542,83322200
2.15,2,0.3050105597134614498737770387,0.309115109570438,0.309115109570438,0.305382507933889,0.305382507933889,0.101557254364528,0.1122833501763011701929181341,0.0943975241479781701929181341,0.017885826028323,3.457852186979841161857900283,13.153324472759173007292252205,14.679593872861168376483847806,83711550
2.16,2,0.3041038133620333230109922034,0.308217305615542,0.308217305615542,0.304474655841427,0.304474655841427,0.101860841994102,0.1125554199623307101093267422,0.0946695939340077101093267422,0.017885826028323,3.461878183635665776628091718,13.180543089164081655519310995,14.679351180025143487463965887,84100910
2.17,2,0.3032012273789435828572266408,0.307323606418919,0.307323606418919,0.303570969190706,0.303570969190706,0.102162619168451,0.1128258236500128455089690322,0.0949399976216898455089690322,0.017885826028323,3.4658564500897089590025854325,13.207837381883804340607638985,14.679322310391419952947531105,84490260
2.18,2,0.3023030189353983599527664925,0.306434230033879,0.306434230033879,0.302671665417765,0.302671665417765,0.102462599768585,0.1130945827218531022824434178,0.0952087566935301022824434178,0.017885826028323,3.4697876017704235737727768678,13.235206392984595131349202708,14.679504757128867529083924225,84879620
2.19,2,0.3014090490930060313063192277,0.305549037463175,0.305549037463175,0.301776605414782,0.301776605414782,0.102760789389051,0.1133616979180574844394588134,0.0954758718897344844394588134,0.017885826028323,3.4736716598831481885429683016,13.262649122846068643671537271,14.679896250202916324870547918,85268980
2.20,2,0.3005192488375355445104803401,0.304667960246104,0.304667960246104,0.300885720083365,0.300885720083365,0.103057207496978,0.1136271863046501967250965264,0.0957413602763271967250965264,0.017885826028323,3.4775091133334628033131597375,13.290161492749279114706978514,14.680491463383888113359444439,85658330
2.21,2,0.2996336952906693525563401444,0.303791075856169,0.303791075856169,0.299999086639245,0.299999086639245,0.10335186012623,0.1138910566156061366401307483,0.0960052305872831366401307483,0.017885826028323,3.4813002123313159856876534521,13.317745662773236549163196933,14.68129102485246207204602254,86047690
2.22,2,0.2987523806295043730342060492,0.302918376767522,0.302918376767522,0.299116697249978,0.299116697249978,0.103644756193248,0.1141533174992879621506593968,0.0962674914709649621506593968,0.017885826028323,3.4850452046340520328535426071,13.345398779865926302474144338,14.68229089391138895066375518,86437040
2.23,2,0.2978752119422558457978181235,0.302049770450287,0.302049770450287,0.298238458890478,0.298238458890478,0.103935911502772,0.1144139815215601421327801162,0.0965281554932371421327801162,0.017885826028323,3.4887444502271652152280363219,13.373119574984196443315074832,14.683488486717522101337812405,86826400
2.24,2,0.2970022512964325138893157768,0.301185319303589,0.301185319303589,0.297364433703942,0.297364433703942,0.104225332298881,0.1146730571003962882357328824,0.0967872310720732882357328824,0.017885826028323,3.4923981902678398299982277565,13.400907807317159614250966501,14.6848822516380256677098892,87215750
2.25,2,0.2961334257468694094964486656,0.300324950490316,0.300324950490316,0.296494548656251,0.296494548656251,0.104513025497963,0.1149305486059929861055467656,0.0970447225776699861055467656,0.017885826028323,3.496006549952978715185628311,13.42876087968405878985630406,14.686468481373071175882465738,87605110
2.26,2,0.2952687072528545424966103597,0.299468636380233,0.299468636380233,0.295628775672498,0.295628775672498,0.104799004323801,0.1151864682897957342666432539,0.0973006422614727342666432539,0.017885826028323,3.499569880260651897560122027,13.456679330477473381559290548,14.688246352910935998212418261,87994460
2.27,2,0.2944081028359751671173354939,0.298616384421055,0.298616384421055,0.294767121782835,0.294767121782835,0.105083280611101,0.1154408282392229409434655053,0.0975550022108999409434655053,0.017885826028323,3.5030885274698865123303134613,13.484660363054023582569718225,14.690211924503724654041128731,88383820
2.28,2,0.2935517031506806012133317864,0.297768285466173,0.297768285466173,0.293909677752258,0.293909677752258,0.105365855306875,0.1156936325714483666594717781,0.0978078065431253666594717781,0.017885826028323,3.5065626095290211271005048958,13.512704866688630031909799896,14.692364827592927468365588556,88773180
2.29,2,0.2926992975909703845679721679,0.29692412906028,0.29692412906028,0.293056232717943,0.293056232717943,0.105646743761518,0.1159448892827297444190712640,0.0980590632544067444190712640,0.017885826028323,3.5099923555139657418706963304,13.540807710548560013846813298,14.694698981893316963363452594,89162540
2.30,2,0.2918509866975326084403181663,0.296084016351172,0.296084016351172,0.292206887343183,0.292206887343183,0.105925958092259,0.1161946140129241040999112178,0.0983087879846011040999112178,0.017885826028323,3.5133782134736203566408877652,13.568974530216252087441121963,14.697218435143288129620269081,89551890
2.31,2,0.2910067685980094601075581329,0.295247945466136,0.295247945466136,0.291361639753337,0.291361639753337,0.106203498387052,0.1164428067845727220573488103,0.0985569807562497220573488103,0.017885826028323,3.5167201840537435390153814799,13.597197141445637516526997827,14.69991431884869661684476,89941240
